transaction_id,store_id,comuna,date,category,units_sold,unit_price,payment_method,customer_rating,store_lat,store_lon
T00001,S02,Laureles,2025-05-09,Bebidas,2,5100.0,App,5,6.24625,-75.58917
T00002,S02,Laureles,2025-06-03,Pasteles,4,8900.0,App,3,6.24605,-75.58977
T00003,S07,Aranjuez,2025-05-31,Snacks,1,3300.0,Tarjeta,4,6.27391,-75.55584
T00004,S04,Robledo,2025-06-07,Pan,3,3200.0,Efectivo,5,6.27054,-75.59354
T00005,S02,Laureles,2025-01-26,Bebidas,5,2100.0,Tarjeta,3,6.2427,-75.58825
T00006,S01,El Poblado,2025-06-23,Snacks,1,3900.0,Tarjeta,3,6.20689,-75.56802
T00007,S04,Robledo,2025-03-06,Snacks,4,3900.0,Tarjeta,4,6.27284,-75.59278
T00008,S06,Buenos Aires,2025-05-12,Snacks,1,1800.0,App,4,6.2261,-75.55454
T00009,S02,Laureles,2025-01-23,Bebidas,5,3800.0,App,,6.24365,-75.59191
T00010,S05,Envigado,2025-04-28,Bebidas,3,5600.0,Efectivo,2,6.17109,-75.58312
T00011,S05,Envigado,2025-04-05,Pan,4,3200.0,Tarjeta,2,6.17214,-75.58192
T00012,S08,Castilla,2025-01-24,Snacks,5,1300.0,Tarjeta,4,6.29272,-75.57444
T00013,S08,Castilla,2025-04-19,Pan,6,3300.0,App,,6.29325,-75.57611
T00014,S08,Castilla,2025-05-15,Snacks,6,2800.0,Tarjeta,,6.29569,-75.57445
T00015,S07,Aranjuez,2025-05-12,Snacks,1,1800.0,App,4,6.27314,-75.55496
T00016,S01,El Poblado,2025-02-03,Pasteles,1,5200.0,Efectivo,4,6.20857,-75.56883
T00017,S02,Laureles,2025-05-01,Snacks,1,3000.0,Efectivo,5,6.24525,-75.5917
T00018,S08,Castilla,,Pasteles,3,4700.0,App,,6.29466,-75.57334
T00019,S08,Castilla,2025-05-20,Snacks,6,3700.0,Tarjeta,5,6.29262,-75.5748
T00020,S07,Aranjuez,2025-05-21,Bebidas,1,2400.0,App,4,6.27506,-75.55514
T00021,S08,Castilla,2025-04-21,Snacks,3,1700.0,Efectivo,4,6.29305,-75.57532
T00022,S05,Envigado,2025-01-03,Bebidas,2,2800.0,Efectivo,5,6.17111,-75.58047
